nm	Absorbancia
179.19	-0.273
179.57	-0.273
179.95	-0.273
180.33	-0.000
180.71	-0.000
181.09	-0.000
181.47	-0.000
181.86	-0.000
182.24	-0.000
182.62	-0.000
183.00	-0.000
183.38	-0.000
183.76	-0.000
184.14	-0.000
184.53	-0.000
184.91	-0.000
185.29	-0.000
185.67	-0.000
186.05	-0.000
186.43	-0.000
186.81	-0.000
187.19	-0.000
187.58	-0.000
187.96	-0.000
188.34	-0.000
188.72	-0.000
189.10	-0.000
189.48	-0.301
189.86	-0.000
190.24	-0.000
190.62	-0.000
191.00	-0.000
191.39	-0.000
191.77	0.677
192.15	0.653
192.53	-0.000
192.91	0.065
193.29	0.564
193.67	-0.000
194.05	0.342
194.43	-0.000
194.81	-0.385
195.19	1.166
195.57	-0.000
195.95	0.746
196.33	0.436
196.71	0.612
197.09	0.160
197.47	-0.186
197.86	0.760
198.24	0.623
198.62	0.079
199.00	-0.092
199.38	0.276
199.76	0.026
200.14	0.125
200.52	-0.027
200.90	0.459
201.28	0.665
201.66	0.028
202.04	0.211
202.42	0.023
202.80	-0.000
203.18	0.048
203.56	-0.310
203.94	0.218
204.32	0.142
204.70	0.570
205.08	-0.000
205.46	0.122
205.84	0.365
206.22	0.729
206.60	0.070
206.98	0.217
207.35	0.769
207.73	0.163
208.11	0.102
208.49	0.385
208.87	-0.158
209.25	0.413
209.63	0.023
210.01	0.355
210.39	0.202
210.77	0.131
211.15	-0.112
211.53	0.359
211.91	0.418
212.29	-0.144
212.67	0.431
213.05	0.527
213.43	1.041
213.80	0.293
214.18	0.203
214.56	0.384
214.94	0.346
215.32	0.739
215.70	0.442
216.08	0.510
216.46	0.405
216.84	0.572
217.22	0.623
217.59	0.502
217.97	0.531
218.35	0.648
218.73	0.551
219.11	0.456
219.49	0.514
219.87	0.592
220.25	0.512
220.62	0.481
221.00	0.463
221.38	0.430
221.76	0.483
222.14	0.446
222.52	0.470
222.90	0.449
223.27	0.412
223.65	0.399
224.03	0.424
224.41	0.418
224.79	0.396
225.17	0.418
225.54	0.387
225.92	0.372
226.30	0.389
226.68	0.371
227.06	0.335
227.43	0.362
227.81	0.358
228.19	0.362
228.57	0.350
228.95	0.326
229.33	0.351
229.70	0.333
230.08	0.327
230.46	0.326
230.84	0.318
231.21	0.293
231.59	0.297
231.97	0.276
232.35	0.280
232.73	0.311
233.10	0.302
233.48	0.271
233.86	0.293
234.24	0.282
234.61	0.280
234.99	0.292
235.37	0.269
235.75	0.275
236.12	0.279
236.50	0.265
236.88	0.292
237.26	0.267
237.63	0.255
238.01	0.263
238.39	0.253
238.76	0.262
239.14	0.261
239.52	0.264
239.90	0.227
240.27	0.233
240.65	0.252
241.03	0.229
241.40	0.238
241.78	0.239
242.16	0.243
242.54	0.235
242.91	0.235
243.29	0.208
243.67	0.219
244.04	0.241
244.42	0.212
244.80	0.212
245.17	0.221
245.55	0.209
245.93	0.216
246.30	0.213
246.68	0.225
247.06	0.199
247.43	0.198
247.81	0.205
248.19	0.196
248.56	0.188
248.94	0.194
249.32	0.188
249.69	0.189
250.07	0.186
250.44	0.179
250.82	0.184
251.20	0.172
251.57	0.182
251.95	0.189
252.33	0.178
252.70	0.168
253.08	0.172
253.45	0.161
253.83	0.169
254.21	0.165
254.58	0.172
254.96	0.183
255.33	0.163
255.71	0.160
256.08	0.177
256.46	0.162
256.84	0.173
257.21	0.163
257.59	0.154
257.96	0.143
258.34	0.155
258.71	0.145
259.09	0.152
259.47	0.137
259.84	0.143
260.22	0.147
260.59	0.159
260.97	0.149
261.34	0.134
261.72	0.139
262.09	0.138
262.47	0.134
262.84	0.148
263.22	0.126
263.60	0.137
263.97	0.142
264.35	0.132
264.72	0.132
265.10	0.119
265.47	0.130
265.85	0.123
266.22	0.142
266.60	0.140
266.97	0.131
267.35	0.126
267.72	0.135
268.10	0.120
268.47	0.104
268.85	0.116
269.22	0.124
269.59	0.123
269.97	0.127
270.34	0.122
270.72	0.122
271.09	0.103
271.47	0.122
271.84	0.121
272.22	0.117
272.59	0.115
272.97	0.112
273.34	0.108
273.71	0.094
274.09	0.106
274.46	0.104
274.84	0.108
275.21	0.112
275.59	0.112
275.96	0.111
276.33	0.124
276.71	0.102
277.08	0.103
277.46	0.097
277.83	0.112
278.21	0.115
278.58	0.115
278.95	0.099
279.33	0.089
279.70	0.100
280.07	0.077
280.45	0.097
280.82	0.116
281.20	0.087
281.57	0.095
281.94	0.093
282.32	0.094
282.69	0.096
283.06	0.094
283.44	0.098
283.81	0.101
284.19	0.077
284.56	0.095
284.93	0.094
285.31	0.086
285.68	0.097
286.05	0.075
286.43	0.090
286.80	0.102
287.17	0.098
287.55	0.077
287.92	0.087
288.29	0.099
288.66	0.086
289.04	0.075
289.41	0.078
289.78	0.072
290.16	0.090
290.53	0.083
290.90	0.093
291.28	0.087
291.65	0.081
292.02	0.082
292.39	0.070
292.77	0.084
293.14	0.064
293.51	0.088
293.89	0.078
294.26	0.070
294.63	0.072
295.00	0.082
295.38	0.084
295.75	0.088
296.12	0.073
296.49	0.097
296.87	0.071
297.24	0.073
297.61	0.085
297.98	0.086
298.35	0.075
298.73	0.076
299.10	0.072
299.47	0.083
299.84	0.088
300.22	0.084
300.59	0.074
300.96	0.058
301.33	0.073
301.70	0.067
302.08	0.072
302.45	0.074
302.82	0.070
303.19	0.078
303.56	0.069
303.94	0.076
304.31	0.069
304.68	0.086
305.05	0.069
305.42	0.045
305.79	0.077
306.17	0.066
306.54	0.066
306.91	0.064
307.28	0.063
307.65	0.080
308.02	0.058
308.39	0.062
308.77	0.063
309.14	0.057
309.51	0.069
309.88	0.073
310.25	0.072
310.62	0.067
310.99	0.062
311.36	0.064
311.74	0.061
312.11	0.067
312.48	0.061
312.85	0.059
313.22	0.056
313.59	0.058
313.96	0.065
314.33	0.058
314.70	0.049
315.07	0.045
315.45	0.064
315.82	0.045
316.19	0.051
316.56	0.056
316.93	0.075
317.30	0.051
317.67	0.057
318.04	0.062
318.41	0.061
318.78	0.047
319.15	0.066
319.52	0.055
319.89	0.054
320.26	0.068
320.63	0.071
321.00	0.044
321.37	0.056
321.74	0.053
322.11	0.064
322.48	0.055
322.85	0.064
323.22	0.049
323.59	0.056
323.96	0.050
324.33	0.047
324.70	0.059
325.07	0.048
325.44	0.045
325.81	0.047
326.18	0.053
326.55	0.054
326.92	0.051
327.29	0.053
327.66	0.048
328.03	0.046
328.40	0.065
328.77	0.048
329.14	0.036
329.51	0.049
329.88	0.039
330.25	0.046
330.62	0.037
330.99	0.049
331.36	0.037
331.73	0.043
332.10	0.027
332.47	0.044
332.84	0.051
333.20	0.042
333.57	0.052
333.94	0.042
334.31	0.037
334.68	0.052
335.05	0.039
335.42	0.039
335.79	0.052
336.16	0.042
336.53	0.041
336.89	0.028
337.26	0.039
337.63	0.034
338.00	0.019
338.37	0.056
338.74	0.041
339.11	0.041
339.48	0.030
339.84	0.042
340.21	0.046
340.58	0.051
340.95	0.044
341.32	0.035
341.69	0.043
342.05	0.036
342.42	0.045
342.79	0.053
343.16	0.045
343.53	0.042
343.90	0.033
344.26	0.037
344.63	0.048
345.00	0.039
345.37	0.037
345.74	0.039
346.10	0.019
346.47	0.034
346.84	0.032
347.21	0.034
347.58	0.018
347.94	0.045
348.31	0.031
348.68	0.046
349.05	0.037
349.42	0.033
349.78	0.019
350.15	0.017
350.52	0.027
350.89	0.009
351.25	0.038
351.62	0.012
351.99	0.024
352.36	0.034
352.72	0.026
353.09	0.041
353.46	0.045
353.82	0.047
354.19	0.040
354.56	0.033
354.93	0.019
355.29	0.021
355.66	0.047
356.03	0.056
356.39	0.020
356.76	0.016
357.13	0.022
357.50	0.022
357.86	0.034
358.23	0.033
358.60	0.022
358.96	0.029
359.33	0.040
359.70	0.027
360.06	0.034
360.43	0.027
360.80	0.063
361.16	0.005
361.53	0.028
361.90	0.036
362.26	0.013
362.63	0.032
363.00	0.054
363.36	0.035
363.73	0.043
364.09	0.025
364.46	0.036
364.83	0.026
365.19	0.037
365.56	0.016
365.93	0.022
366.29	0.019
366.66	0.025
367.02	0.025
367.39	0.032
367.76	0.029
368.12	0.036
368.49	0.018
368.85	0.018
369.22	0.020
369.58	0.026
369.95	0.034
370.32	0.020
370.68	0.019
371.05	0.038
371.41	0.013
371.78	0.023
372.14	0.016
372.51	0.028
372.87	0.030
373.24	0.032
373.61	0.041
373.97	0.010
374.34	0.028
374.70	0.026
375.07	0.022
375.43	0.046
375.80	0.021
376.16	0.025
376.53	0.030
376.89	0.029
377.26	0.002
377.62	0.006
377.99	0.021
378.35	0.010
378.72	0.033
379.08	0.019
379.45	0.021
379.81	0.039
380.18	0.006
380.54	0.017
380.91	0.011
381.27	0.025
381.63	0.030
382.00	0.035
382.36	0.007
382.73	0.027
383.09	0.036
383.46	0.026
383.82	0.038
384.19	0.029
384.55	0.019
384.91	0.003
385.28	-0.001
385.64	0.013
386.01	0.012
386.37	0.024
386.74	0.006
387.10	0.014
387.46	0.032
387.83	0.030
388.19	0.010
388.56	0.022
388.92	0.013
389.28	0.017
389.65	0.032
390.01	0.015
390.37	0.014
390.74	0.012
391.10	0.024
391.47	0.038
391.83	0.034
392.19	0.018
392.56	0.014
392.92	0.017
393.28	0.026
393.65	0.027
394.01	-0.006
394.37	0.037
394.74	0.017
395.10	0.025
395.46	-0.006
395.83	0.009
396.19	0.018
396.55	0.012
396.91	0.020
397.28	0.011
397.64	0.015
398.00	-0.002
398.37	0.024
398.73	0.031
399.09	0.009
399.46	0.032
399.82	0.030
400.18	0.020
400.54	0.022
400.91	0.013
401.27	0.038
401.63	0.022
401.99	0.016
402.36	0.011
402.72	0.034
403.08	0.029
403.44	0.004
403.81	0.039
404.17	0.015
404.53	0.019
404.89	0.008
405.26	0.020
405.62	-0.004
405.98	0.008
406.34	0.020
406.70	0.021
407.07	0.009
407.43	0.007
407.79	-0.003
408.15	0.028
408.51	0.014
408.88	0.033
409.24	-0.005
409.60	0.007
409.96	0.022
410.32	0.026
410.68	0.004
411.05	0.003
411.41	0.030
411.77	-0.008
412.13	0.028
412.49	0.027
412.85	0.025
413.21	0.031
413.58	0.022
413.94	-0.004
414.30	0.016
414.66	0.002
415.02	0.010
415.38	-0.002
415.74	0.017
416.10	0.014
416.47	-0.008
416.83	0.024
417.19	0.028
417.55	0.013
417.91	0.014
418.27	0.011
418.63	0.011
418.99	0.004
419.35	0.016
419.71	0.009
420.07	0.003
420.44	0.015
420.80	0.014
421.16	0.019
421.52	0.005
421.88	0.011
422.24	0.011
422.60	-0.010
422.96	0.004
423.32	0.013
423.68	0.005
424.04	0.028
424.40	0.026
424.76	-0.003
425.12	0.002
425.48	0.008
425.84	0.021
426.20	0.005
426.56	0.013
426.92	0.010
427.28	0.016
427.64	0.005
428.00	0.004
428.36	0.014
428.72	0.001
429.08	0.011
429.44	0.017
429.80	0.016
430.16	-0.015
430.52	0.013
430.88	0.019
431.24	0.019
431.60	-0.004
431.96	0.015
432.32	0.001
432.68	0.015
433.03	0.025
433.39	0.010
433.75	-0.002
434.11	0.025
434.47	0.019
434.83	-0.012
435.19	0.013
435.55	0.019
435.91	-0.006
436.27	0.012
436.63	0.011
436.98	0.021
437.34	0.024
437.70	-0.001
438.06	0.008
438.42	0.006
438.78	0.006
439.14	0.009
439.50	0.005
439.85	0.008
440.21	0.007
440.57	0.009
440.93	0.016
441.29	-0.005
441.65	0.000
442.01	0.009
442.36	0.013
442.72	-0.005
443.08	0.003
443.44	-0.002
443.80	-0.002
444.15	0.005
444.51	0.004
444.87	0.007
445.23	0.012
445.59	0.004
445.95	0.011
446.30	0.001
446.66	0.014
447.02	0.013
447.38	0.005
447.73	0.025
448.09	0.008
448.45	0.001
448.81	0.011
449.16	0.008
449.52	0.017
449.88	-0.003
450.24	0.002
450.59	0.013
450.95	0.015
451.31	0.009
451.67	0.004
452.02	0.009
452.38	0.005
452.74	0.014
453.10	0.008
453.45	0.010
453.81	0.007
454.17	0.005
454.52	0.001
454.88	0.001
455.24	0.004
455.60	0.011
455.95	0.003
456.31	-0.002
456.67	0.001
457.02	0.004
457.38	0.002
457.74	0.004
458.09	0.004
458.45	0.015
458.81	0.011
459.16	0.013
459.52	0.005
459.87	0.005
460.23	0.009
460.59	0.009
460.94	0.005
461.30	0.006
461.66	0.004
462.01	0.009
462.37	0.009
462.72	0.005
463.08	0.013
463.44	-0.000
463.79	0.005
464.15	0.010
464.50	0.002
464.86	0.009
465.22	0.006
465.57	0.006
465.93	0.002
466.28	0.004
466.64	0.010
467.00	0.004
467.35	0.001
467.71	0.007
468.06	0.001
468.42	0.004
468.77	0.004
469.13	0.008
469.48	-0.001
469.84	0.003
470.19	0.004
470.55	0.002
470.90	0.004
471.26	-0.002
471.61	0.003
471.97	0.007
472.32	0.000
472.68	-0.001
473.03	0.003
473.39	0.006
473.74	-0.005
474.10	0.001
474.45	0.006
474.81	0.002
475.16	0.007
475.52	0.006
475.87	0.003
476.23	0.003
476.58	0.001
476.94	0.003
477.29	0.003
477.65	0.004
478.00	0.002
478.35	0.003
478.71	0.002
479.06	0.004
479.42	0.002
479.77	0.004
480.13	0.003
480.48	0.001
480.83	0.003
481.19	0.003
481.54	0.003
481.90	0.002
482.25	0.001
482.60	0.002
482.96	0.001
483.31	0.000
483.67	0.002
484.02	0.000
484.37	0.002
484.73	0.002
485.08	0.004
485.43	0.001
485.79	0.006
486.14	0.002
486.49	0.004
486.85	0.002
487.20	0.001
487.55	0.003
487.91	0.002
488.26	0.003
488.61	0.005
488.97	0.002
489.32	0.003
489.67	0.003
490.03	0.001
490.38	-0.002
490.73	0.000
491.08	-0.004
491.44	0.002
491.79	-0.002
492.14	0.003
492.50	0.003
492.85	0.003
493.20	-0.002
493.55	0.004
493.91	0.001
494.26	0.002
494.61	0.004
494.96	0.003
495.32	0.002
495.67	0.002
496.02	0.008
496.37	0.001
496.73	0.004
497.08	0.008
497.43	0.007
497.78	0.003
498.13	0.001
498.49	0.002
498.84	0.008
499.19	0.001
499.54	-0.004
499.89	0.002
500.25	0.004
500.60	0.001
500.95	0.005
501.30	0.008
501.65	0.002
502.00	0.005
502.36	0.001
502.71	0.006
503.06	0.003
503.41	0.008
503.76	0.002
504.11	0.005
504.46	0.005
504.82	0.010
505.17	-0.001
505.52	0.003
505.87	0.001
506.22	0.014
506.57	0.007
506.92	0.005
507.27	-0.003
507.62	0.001
507.98	0.000
508.33	-0.001
508.68	0.002
509.03	0.002
509.38	-0.006
509.73	-0.003
510.08	0.007
510.43	0.003
510.78	0.006
511.13	-0.004
511.48	0.003
511.83	-0.001
512.18	-0.001
512.53	0.003
512.88	0.002
513.23	0.003
513.59	-0.003
513.94	0.003
514.29	0.011
514.64	0.007
514.99	0.006
515.34	0.005
515.69	0.005
516.04	0.003
516.39	0.004
516.74	-0.004
517.09	0.004
517.44	-0.002
517.78	0.004
518.13	-0.000
518.48	-0.000
518.83	0.004
519.18	0.001
519.53	0.001
519.88	0.000
520.23	-0.000
520.58	0.003
520.93	0.002
521.28	0.008
521.63	0.008
521.98	0.004
522.33	0.001
522.68	0.003
523.03	0.001
523.38	0.002
523.72	0.002
524.07	0.000
524.42	-0.000
524.77	0.004
525.12	0.003
525.47	0.000
525.82	0.009
526.17	0.005
526.52	0.003
526.86	0.003
527.21	-0.001
527.56	0.007
527.91	-0.005
528.26	-0.005
528.61	0.001
528.96	-0.003
529.30	0.005
529.65	0.004
530.00	0.005
530.35	0.008
530.70	0.009
531.04	0.005
531.39	-0.000
531.74	0.004
532.09	-0.002
532.44	0.007
532.78	0.003
533.13	0.004
533.48	-0.001
533.83	0.006
534.18	-0.001
534.52	0.001
534.87	-0.001
535.22	-0.000
535.57	-0.003
535.91	-0.004
536.26	0.005
536.61	-0.001
536.96	0.006
537.30	0.007
537.65	-0.000
538.00	0.003
538.35	-0.007
538.69	0.000
539.04	0.001
539.39	0.008
539.73	0.006
540.08	0.002
540.43	0.001
540.78	-0.004
541.12	-0.000
541.47	0.001
541.82	-0.004
542.16	0.002
542.51	0.003
542.86	-0.002
543.20	0.006
543.55	0.000
543.90	0.005
544.24	0.000
544.59	0.003
544.94	-0.001
545.28	0.005
545.63	0.003
545.97	0.003
546.32	0.002
546.67	0.003
547.01	-0.004
547.36	-0.002
547.71	0.003
548.05	0.002
548.40	0.009
548.74	0.000
549.09	0.004
549.44	-0.004
549.78	-0.003
550.13	-0.000
550.47	-0.003
550.82	-0.002
551.16	0.005
551.51	0.001
551.86	0.000
552.20	-0.001
552.55	-0.002
552.89	-0.007
553.24	-0.005
553.58	0.005
553.93	0.002
554.27	-0.000
554.62	0.005
554.96	0.005
555.31	0.004
555.65	0.015
556.00	-0.007
556.34	-0.001
556.69	-0.003
557.03	0.002
557.38	0.001
557.72	0.005
558.07	-0.003
558.41	-0.004
558.76	0.002
